Crime Type,Date of Initial Criminal Activity,Date Charges Filed,Dollars Involved
Securities Fraud,7/1/10 17:37,5/9/12 16:10,6797221
Ponzi Scheme,6/23/08 2:58,5/12/11 17:09,5595577
Insider Trading,12/8/13 6:39,11/15/17 11:03,3824915
Ponzi Scheme,7/9/14 15:57,1/23/17 17:43,7205045
Embezzlement,12/17/09 2:39,6/3/14 1:37,6447170
Embezzlement,11/3/07 16:36,10/28/09 8:36,8543870
Insider Trading,11/12/06 11:58,8/10/07 20:18,8398908
Ponzi Scheme,4/12/13 6:15,9/29/16 7:51,2069398
Embezzlement,1/19/13 15:52,2/15/16 6:32,7803675
Securities Fraud,9/19/08 6:03,2/17/13 1:05,9474243
Ponzi Scheme,12/27/08 11:06,10/8/11 14:16,4662884
Ponzi Scheme,3/17/11 18:08,1/12/16 4:09,1159590
Ponzi Scheme,3/18/14 10:02,7/19/14 2:01,5357455
Securities Fraud,6/9/08 20:39,11/19/09 11:01,6797019
Securities Fraud,10/31/14 9:52,9/19/19 17:01,9185349
Ponzi Scheme,2/14/08 0:48,2/24/08 22:24,4054278
Insider Trading,2/11/12 12:58,4/29/12 7:09,455338
Embezzlement,6/17/13 13:09,3/23/14 22:15,5486206
Embezzlement,2/1/13 8:59,3/5/13 10:55,4929289
Insider Trading,8/12/13 1:44,6/23/18 16:09,6191925
Insider Trading,6/6/13 3:10,3/21/18 11:03,4943037
Embezzlement,6/16/13 13:54,1/12/14 12:27,4713268
Insider Trading,9/16/08 9:39,5/2/12 0:20,1421783
Ponzi Scheme,1/22/13 17:41,2/9/16 19:41,6622468
Ponzi Scheme,11/21/09 16:11,3/12/13 21:45,4983308
Ponzi Scheme,9/17/13 2:14,1/20/14 9:49,8207522
Ponzi Scheme,2/3/07 6:15,1/27/09 16:02,3771512
Insider Trading,3/24/13 2:12,1/7/16 17:36,7976754
Embezzlement,10/7/09 18:02,12/12/14 5:14,9236957
Securities Fraud,9/19/08 14:17,8/23/11 18:58,5079844
Insider Trading,10/22/11 12:24,4/6/12 23:31,9022324
Ponzi Scheme,4/24/09 8:16,1/8/12 21:08,3378391
Ponzi Scheme,5/5/14 8:26,10/19/17 18:57,9999388
Ponzi Scheme,12/25/09 2:20,5/28/15 2:00,2424254
Ponzi Scheme,1/25/11 0:31,4/22/15 1:02,7366807
Securities Fraud,12/5/13 3:50,8/28/15 14:46,8039252
Insider Trading,1/10/13 22:36,1/26/16 9:03,8334530
Embezzlement,7/27/07 17:29,2/10/08 17:00,9895423
Embezzlement,5/25/10 15:51,3/23/13 10:18,4129950
